commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1301,2,0,0,0,0,0,0,0,0,2,2024-09-19T00:00:00,2024
1301,2010,0,87,0,0,0,87,0,0,2,2024-09-26T00:00:00,2024
1301,2050,0,264,703,88,88,967,0,0,2,2024-09-26T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,3010,87,261,308,4,4,569,0,0,2,2024-09-26T00:00:00,2024
1301,3330,0,4819,13184,1040,1040,18003,0,0,2,2024-09-26T00:00:00,2024
1301,3510,0,440,440,0,0,880,0,0,2,2024-09-26T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,4280,0,440,440,0,0,880,0,0,2,2024-09-26T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,4351,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,4750,0,1337,4074,0,0,5411,0,0,2,2024-09-26T00:00:00,2024
1301,4792,0,176,0,0,0,176,0,0,2,2024-09-26T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,4890,0,609,1124,516,516,1733,0,0,2,2024-09-26T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-09-26T00:00:00,2024
1301,5250,0,0,441,0,0,441,0,0,2,2024-09-26T00:00:00,2024
1301,5330,4451,24902,50052,7984,6235,74954,0,0,2,2024-09-26T00:00:00,2024
1301,5350,440,3746,6517,0,0,10263,0,0,2,2024-09-26T00:00:00,2024
1301,5380,846,2072,2081,0,0,4153,0,0,2,2024-09-26T00:00:00,2024
1301,5490,0,694,2265,440,440,2959,0,0,2,2024-09-26T00:00:00,2024
1301,5520,86,8654,3479,0,86,12133,0,0,2,2024-09-26T00:00:00,2024
1301,5570,0,86,176,0,0,262,0,0,2,2024-09-26T00:00:00,2024
1301,5600,0,788,1,0,0,789,0,0,2,2024-09-26T00:00:00,2024
1301,5700,0,6655,7995,0,0,14650,0,0,2,2024-09-26T00:00:00,2024
1301,5800,87,259,522,264,264,781,0,0,2,2024-09-26T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-09-26T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-09-26T00:00:00,2024
1301,5880,88,785,958,0,-86,1743,0,0,2,2024-09-26T00:00:00,2024
1301,7290,437,437,5912,0,0,6349,0,0,2,2024-09-26T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,7770,0,0,880,880,880,880,0,0,2,2024-09-26T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-09-26T00:00:00,2024
1301,2010,0,87,0,0,0,87,0,0,2,2024-10-03T00:00:00,2024
1301,2050,88,352,784,176,169,1136,0,0,2,2024-10-03T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,3010,91,352,1435,1218,1218,1787,0,0,2,2024-10-03T00:00:00,2024
1301,3330,0,4819,13184,0,0,18003,0,0,2,2024-10-03T00:00:00,2024
1301,3510,0,440,440,0,0,880,0,0,2,2024-10-03T00:00:00,2024
1301,4010,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,4280,0,440,440,0,0,880,0,0,2,2024-10-03T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,4351,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,4750,0,1337,4074,0,0,5411,0,0,2,2024-10-03T00:00:00,2024
1301,4792,0,176,0,0,0,176,0,0,2,2024-10-03T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,4890,0,609,1652,528,528,2261,0,0,2,2024-10-03T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-10-03T00:00:00,2024
1301,5250,436,436,0,0,-5,436,0,0,2,2024-10-03T00:00:00,2024
1301,5330,2622,27524,51530,4224,4100,79054,0,0,2,2024-10-03T00:00:00,2024
1301,5350,704,4450,5813,0,0,10263,0,0,2,2024-10-03T00:00:00,2024
1301,5380,0,2072,2081,0,0,4153,0,0,2,2024-10-03T00:00:00,2024
1301,5490,0,694,2269,4,4,2963,0,0,2,2024-10-03T00:00:00,2024
1301,5520,88,8742,3391,0,0,12133,0,0,2,2024-10-03T00:00:00,2024
1301,5570,0,86,176,0,0,262,0,0,2,2024-10-03T00:00:00,2024
1301,5600,0,788,89,0,88,877,0,0,2,2024-10-03T00:00:00,2024
1301,5700,2200,8855,8875,3080,3080,17730,0,0,2,2024-10-03T00:00:00,2024
1301,5800,0,259,522,0,0,781,0,0,2,2024-10-03T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-10-03T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-10-03T00:00:00,2024
1301,5880,263,1048,607,0,-88,1655,0,0,2,2024-10-03T00:00:00,2024
1301,7290,0,437,5908,0,-4,6345,0,0,2,2024-10-03T00:00:00,2024
1301,7770,0,0,880,0,0,880,0,0,2,2024-10-03T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-10-03T00:00:00,2024
1301,2010,0,87,0,0,0,87,0,0,2,2024-10-10T00:00:00,2024
1301,2050,258,610,526,0,0,1136,0,0,2,2024-10-10T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-10-10T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-10-10T00:00:00,2024
1301,3010,0,352,1478,1261,43,1830,0,0,2,2024-10-10T00:00:00,2024
1301,3330,1044,5863,12404,264,264,18267,0,0,2,2024-10-10T00:00:00,2024
1301,3510,440,880,0,0,0,880,0,0,2,2024-10-10T00:00:00,2024
1301,4010,0,0,0,0,0,0,0,0,2,2024-10-10T00:00:00,2024
